text,polarity,subjectivity,Date,retweet count
RT @kapilrdave: @Gubomaster @ShilpiTiwari5 @ImranKhanPTI @narendramodi @OpIndia_com Choice was with pak army to either fight against India...,0.0,0.0,2019-03-02 23:54:26,8
"RT @ShilpiTiwari5: Assasination  by Poisonin of Maulana shows an intense combustion involving core hothead jehaadis, at the hands of cold c...",-0.19999999999999998,1.0,2019-03-02 23:54:12,11
RT @IvoryMystic: The only one who praised Barkha for her journalism is dead now. Ab kaun compliments dega? #MasoodAzharDEAD,-0.1,0.7,2019-03-02 23:53:04,44
"RT @ShilpiTiwari5: Now connect the dots
Azhar, ISI colonel, Military cream eliminated in ""pilot project"".
#NudeNukes #benaamiNukes transpor...",-0.1,0.1,2019-03-02 23:52:48,26
"RT @GreatHeretic: Press release from #Jannat #MasoodAzhar enjoying with hoors.

#MasoodAzharDEAD https://t.co/ONtP08nTrj",0.5,0.6,2019-03-02 23:51:36,97
RT @burkhabutt: @amtgpt2008 @RavinarIN @ImranKhanPTI @IAF_MCC @PMOIndia @TimesNow @republic @ippatel My sources with @MamataOfficial @Arvin...,0.0,0.0,2019-03-02 23:51:23,12
"RT @league_of_india: Did Masood Azhar die in the #IAF strike on #Balakot?

Is the #Pakistan establishment working towards the 'Soft Landing...",0.1,0.35,2019-03-02 23:51:06,19
RT @TheAmitNijhawan: It appears Masood Azhar is killed in Indian Strike (probably a covert operation or he was at Balakot during Air Strike...,-0.2,0.0,2019-03-02 23:50:39,51
RT @amtgpt2008: @RavinarIN @ImranKhanPTI @IAF_MCC @PMOIndia @TimesNow @republic The complete silence of #MasoodAzhar after #IndianAirForce...,0.1,0.4,2019-03-02 23:50:03,30
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 23:49:32,30
RT @Songadiya: @ShilpiTiwari5 @cbkwgl @MithilaGourav @KanchanGupta @sarpamedha @vijayvaani @DivyaSoti @Abdulsaleemgad @omlettebread @Prof_H...,0.0,0.0,2019-03-02 23:44:16,3
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 23:23:14,30
"With #SwachhBharat, #NarendraModi has also cleaned a major terror network inside Pakistan. #MasoodAzhar died in air... https://t.co/DR4todpGo1",0.0625,0.5,2019-03-02 22:32:46,0
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 22:06:01,30
Confirmed #MasoodAzharDEAD,0.4,1.0,2019-03-02 21:53:45,0
@vikramchandra Bull shit...he is dead and vaporised in the air strikes. Pakistan will conveniently declare he is de... https://t.co/y0b0FUG9et,-0.2,0.4,2019-03-02 21:45:45,0
@geonews_english Don't give breaking news on Mon that Masood Azhar died due to renal failure! We know your army and... https://t.co/I9MDcWkmKB,-0.2604166666666667,0.3375,2019-03-02 21:36:01,0
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 21:11:53,30
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 21:06:16,30
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 21:04:57,30
"tomorrow morning I wish to hear that masood azhar dead in balakot attack

#MasoodAzhar #MasoodAzharDead https://t.co/Y4ZTorWGGX",-0.2,0.4,2019-03-02 20:58:39,0
"RT @ShilpiTiwari5: Now connect the dots
Azhar, ISI colonel, Military cream eliminated in ""pilot project"".
#NudeNukes #benaamiNukes transpor...",-0.1,0.1,2019-03-02 20:56:28,26
"RT @ShilpiTiwari5: Assasination  by Poisonin of Maulana shows an intense combustion involving core hothead jehaadis, at the hands of cold c...",-0.19999999999999998,1.0,2019-03-02 20:56:15,11
@SirJadeja do you know #masoodazhardead,0.0,0.0,2019-03-02 20:52:36,0
RT @amtgpt2008: @RavinarIN @ImranKhanPTI @IAF_MCC @PMOIndia @TimesNow @republic The complete silence of #MasoodAzhar after #IndianAirForce...,0.1,0.4,2019-03-02 20:52:00,30
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 20:45:45,30
"Rajdeep Pardesai, Sagarika Ghost, Barkha Butt, Nidhi Razdar etc etc etc must be having Masood Azhar in their contac... https://t.co/ftyPnKKZOd",0.0,0.0,2019-03-02 20:38:48,52
@Natsecjeff #masoodazhardead when was he spotted in public last?,0.0,0.06666666666666667,2019-03-02 20:30:49,0
"Can Pakistan show PROOF/EVIDENCE that terrorist Maulana #Masood #Azhar is ""really ill and getting dialysis in hospi... https://t.co/JRYA7pKOPH",-0.5,1.0,2019-03-02 20:29:28,4
"Wow! Pray that this is true &amp; valid!

#MasoodAzharSentToHell #MasoodAzharDead

Compliments @IAF_MCC 
Thanks Hon PM... https://t.co/bTldhUKoRJ",0.25416666666666665,0.6166666666666666,2019-03-02 20:21:34,1
"RT @ShilpiTiwari5: Now connect the dots
Azhar, ISI colonel, Military cream eliminated in ""pilot project"".
#NudeNukes #benaamiNukes transpor...",-0.1,0.1,2019-03-02 20:20:33,26
"RT @ShilpiTiwari5: Assasination  by Poisonin of Maulana shows an intense combustion involving core hothead jehaadis, at the hands of cold c...",-0.19999999999999998,1.0,2019-03-02 20:20:17,11
@CongressDahan #MasoodAzharDead this could be true!,0.4375,0.65,2019-03-02 20:15:12,1
RT @TheAmitNijhawan: It appears Masood Azhar is killed in Indian Strike (probably a covert operation or he was at Balakot during Air Strike...,-0.2,0.0,2019-03-02 20:10:06,51
RT @prashantsingh_3: My sources are telling that Masood Azhar actually got killed in airstrike and pakistan actually using his hospitalizat...,-0.06666666666666667,0.06666666666666667,2019-03-02 20:05:49,4
When was #masoodazhardead seen last?,0.0,0.06666666666666667,2019-03-02 20:02:37,0
RT @kapilrdave: @Gubomaster @ShilpiTiwari5 @ImranKhanPTI @narendramodi @OpIndia_com Choice was with pak army to either fight against India...,0.0,0.0,2019-03-02 19:55:22,8
@Gubomaster @ShilpiTiwari5 @ImranKhanPTI @narendramodi @OpIndia_com Choice was with pak army to either fight agains... https://t.co/Tam6riILGn,0.0,0.0,2019-03-02 19:54:36,8
"RT @GreatHeretic: Press release from #Jannat #MasoodAzhar enjoying with hoors.

#MasoodAzharDEAD https://t.co/ONtP08nTrj",0.5,0.6,2019-03-02 19:48:28,97
RT @amtgpt2008: @RavinarIN @ImranKhanPTI @IAF_MCC @PMOIndia @TimesNow @republic The complete silence of #MasoodAzhar after #IndianAirForce...,0.1,0.4,2019-03-02 19:48:13,30
RT @adarsh100194: Pakistan is making plot to declare #MasoodAzharDead. They also make a fake YT Channel 1 hour ago and started posting old...,-0.2,0.6,2019-03-02 19:46:32,12
