text,polarity,subjectivity,Date,retweet count
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER choice was with pak army to either fight against india...,0.0,0.0,2019-03-02 23:54:26,8
"rt AT_USER assasination by poisonin of maulana shows an intense combustion involving core hothead jehaadis, at the hands of cold c...",-0.2,1.0,2019-03-02 23:54:12,11
rt AT_USER the only one who praised barkha for her journalism is dead now. ab kaun compliments dega? masoodazhardead,-0.1,0.7,2019-03-02 23:53:04,44
"rt AT_USER now connect the dots azhar, isi colonel, military cream eliminated in ""pilot project"". nudenukes benaaminukes transpor...",-0.1,0.1,2019-03-02 23:52:48,26
rt AT_USER press release from jannat masoodazhar enjoying with hoors. masoodazhardead URL,0.5,0.6,2019-03-02 23:51:36,97
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER my sources with AT_USER AT_USER,0.0,0.0,2019-03-02 23:51:23,12
rt AT_USER did masood azhar die in the iaf strike on balakot? is the pakistan establishment working towards the 'soft landing...,0.1,0.35,2019-03-02 23:51:06,19
rt AT_USER it appears masood azhar is killed in indian strike (probably a covert operation or he was at balakot during air strike...,-0.2,0.0,2019-03-02 23:50:39,51
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER the complete silence of masoodazhar after indianairforce...,0.1,0.4,2019-03-02 23:50:03,30
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 23:49:32,30
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER,0.0,0.0,2019-03-02 23:44:16,3
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 23:23:14,30
"with swachhbharat, narendramodi has also cleaned a major terror network inside pakistan. masoodazhar died in air... URL",0.0625,0.5,2019-03-02 22:32:46,0
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 22:06:01,30
confirmed masoodazhardead,0.4,1.0,2019-03-02 21:53:45,0
AT_USER bull shit...he is dead and vaporised in the air strikes. pakistan will conveniently declare he is de... URL,-0.2,0.4,2019-03-02 21:45:45,0
AT_USER don't give breaking news on mon that masood azhar died due to renal failure! we know your army and... URL,-0.2604166666666667,0.3375,2019-03-02 21:36:01,0
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 21:11:53,30
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 21:06:16,30
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 21:04:57,30
tomorrow morning i wish to hear that masood azhar dead in balakot attack masoodazhar masoodazhardead URL,-0.2,0.4,2019-03-02 20:58:39,0
"rt AT_USER now connect the dots azhar, isi colonel, military cream eliminated in ""pilot project"". nudenukes benaaminukes transpor...",-0.1,0.1,2019-03-02 20:56:28,26
"rt AT_USER assasination by poisonin of maulana shows an intense combustion involving core hothead jehaadis, at the hands of cold c...",-0.2,1.0,2019-03-02 20:56:15,11
AT_USER do you know masoodazhardead,0.0,0.0,2019-03-02 20:52:36,0
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER the complete silence of masoodazhar after indianairforce...,0.1,0.4,2019-03-02 20:52:00,30
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 20:45:45,30
"rajdeep pardesai, sagarika ghost, barkha butt, nidhi razdar etc etc etc must be having masood azhar in their contac... URL",0.0,0.0,2019-03-02 20:38:48,52
AT_USER masoodazhardead when was he spotted in public last?,0.0,0.06666666666666668,2019-03-02 20:30:49,0
"can pakistan show proof/evidence that terrorist maulana masood azhar is ""really ill and getting dialysis in hospi... URL",-0.5,1.0,2019-03-02 20:29:28,4
wow! pray that this is true &amp; valid! masoodazharsenttohell masoodazhardead compliments AT_USER thanks hon pm... URL,0.25416666666666665,0.6166666666666666,2019-03-02 20:21:34,1
"rt AT_USER now connect the dots azhar, isi colonel, military cream eliminated in ""pilot project"". nudenukes benaaminukes transpor...",-0.1,0.1,2019-03-02 20:20:33,26
"rt AT_USER assasination by poisonin of maulana shows an intense combustion involving core hothead jehaadis, at the hands of cold c...",-0.2,1.0,2019-03-02 20:20:17,11
AT_USER masoodazhardead this could be true!,0.4375,0.65,2019-03-02 20:15:12,1
rt AT_USER it appears masood azhar is killed in indian strike (probably a covert operation or he was at balakot during air strike...,-0.2,0.0,2019-03-02 20:10:06,51
